Pastor_Name,Church_Name,Address,Website,Contact,YouTube,Size,Depth,Style,Environment,Gender,Source
Craig Groeschel,Life.Church,"4400 E 2nd St, Edmond, OK 73034",https://www.life.church,https://www.life.church/contact,https://www.youtube.com/@life.church,"Over 70,000 weekly online+in-person (major multi-site reach)",practical,conversational,contemporary,male,https://www.life.church/
Beth Moore,Living Proof Ministries,,https://www.lproof.org/,https://www.lproof.org/contact,https://www.youtube.com/channel/UCd1k3z9-5KjNf8WQyqV7e9A,National speaker/teacher; large national audience,deep,energetic,traditional,female,https://www.lproof.org/
Steven Furtick,Elevation Church,"6105 Albemarle Rd, Charlotte, NC 28212",https://www.elevationchurch.org/,https://www.elevationchurch.org/connect/,https://www.youtube.com/@elevationchurch,"~25,000+ weekly (multi-site)",practical,energetic,contemporary,male,https://www.elevationchurch.org/
Andy Stanley,North Point Community Church,"4600 North Point Pkwy, Alpharetta, GA 30022",https://northpoint.org/,https://northpoint.org/contact/,https://www.youtube.com/@NorthPointCommunityChurch,"30,000+ weekly across campuses",balance,conversational,contemporary,male,https://northpoint.org/
Rick Warren,Saddleback Church,"1 Saddleback Pkwy, Lake Forest, CA 92630",https://saddleback.com/,https://saddleback.com/contact/,https://www.youtube.com/@saddlebackchurch,Tens of thousands weekly across campuses historically,practical,conversational,blended,male,https://saddleback.com/
Joel Osteen,Lakewood Church,"3700 Southwest Fwy, Houston, TX 77027",https://www.lakewoodchurch.com/,https://www.lakewoodchurch.com/contact/,https://www.youtube.com/@JoelOsteen,"Over 40,000 weekly (historical)",practical,energetic,contemporary,male,https://www.lakewoodchurch.com/
T.D. Jakes,The Potter's House,"6777 Montgomery Rd, Dallas, TX 75214",https://tdjakes.org/,https://tdjakes.org/contact/,https://www.youtube.com/@tdjakes,Large megachurch; tens of thousands weekly,balance,energetic,blended,male,https://tdjakes.org/
John Piper,Desiring God,"Minneapolis, MN (Desiring God based)",https://www.desiringgod.org/,https://www.desiringgod.org/about/,https://www.youtube.com/@desiringgod,Influential teacher with large online reach,deep,energetic,traditional,male,https://www.desiringgod.org/
Joyce Meyer,Joyce Meyer Ministries,"Enterprise, MO (HQ)",https://joycemeyer.org/,https://joycemeyer.org/contact/,https://www.youtube.com/@JoyceMeyerMinistriesOfficial,Large international TV & church reach,practical,conversational,contemporary,female,https://joycemeyer.org/
Francis Chan,We Are Church / Cornerstone,,https://www.francischan.org/,https://www.francischan.org/contact/,https://www.youtube.com/c/FrancisChan,National speaker/teacher; influential author and teacher,deep,energetic,contemporary,male,https://www.francischan.org/
Louie Giglio,Passion City Church,"5701 Peachtree Rd, Atlanta, GA 30342 (approx)",https://passioncitychurch.com/,https://passioncitychurch.com/contact/,https://www.youtube.com/@passioncitychurch,Large young-adult focused ministry,balance,energetic,contemporary,male,https://passioncitychurch.com/
Robert Barron,Word on Fire,"Chicago, IL (Word on Fire HQ)",https://www.wordonfire.org/,https://www.wordonfire.org/contact/,https://www.youtube.com/@wordonfire,Prominent Catholic teacher with global reach,deep,reflective,traditional,male,https://www.wordonfire.org/
Alistair Begg,Parkside Church / Truth For Life,"1113 Old River Rd, Glenwillow, OH 44139 (Parkside)",https://parksidechurch.com/,https://parksidechurch.com/contact/,https://www.youtube.com/@TruthForLife,Broad radio and teaching reach,deep,calm and reflective,traditional,male,https://parksidechurch.com/
Matt Chandler,The Village Church,"3711 Village Pkwy, Flower Mound, TX 75022",https://www.thevillagechurch.org/,https://www.thevillagechurch.org/contact/,https://www.youtube.com/@TheVillageChurch,Multi-site regional reach; thousands weekly,deep,calm and reflective,traditional,male,https://www.thevillagechurch.org/
John MacArthur,Grace Community Church,"13248 Roscoe Blvd, Sun Valley, CA 91352",https://www.gcc-cbc.org/,https://www.gcc-cbc.org/contact/,https://www.youtube.com/@GraceToYou,Large historic megachurch (thousands weekly),deep,calm and reflective,traditional,male,https://www.gty.org/
Mark Batterson,National Community Church,"535 8th St SE, Washington, DC 20003",https://national.cc/,https://national.cc/contact/,https://www.youtube.com/@nationalcommunitychurch,Large DC-area church; multi-site influence,balance,conversational,contemporary,male,https://national.cc/
Michael Todd,Transformation Church,"11855 East Walker Ave, Suite 100, Charlotte, NC (HQ)",https://transformationchurch.com/,https://transformationchurch.com/contact/,https://www.youtube.com/@transformationchurch,Large multi-site (tens of thousands),practical,energetic,contemporary,male,https://transformationchurch.com/
